City,Country,Lat,Lng,Date,Max Temp (F),Cloudiness,Humidity,Wind Speed
loei,th,17.42,101.5,1580007262,79.0,70,60,1.12
saint-philippe,re,-21.36,55.77,1580007262,73.4,90,83,9.17
kapaa,us,22.08,-159.32,1580007263,78.8,40,65,6.93
inta,ru,66.03,60.17,1580007263,-9.24,87,99,2.06
mataura,pf,-46.19,168.86,1580007263,77.65,64,58,0.58
castro,cl,-24.79,-50.01,1580007264,61.63,0,93,2.84
yellowknife,ca,62.46,-114.35,1580007264,10.4,90,85,6.93
thompson,ca,55.74,-97.86,1580007202,15.8,90,92,2.24
ewa beach,us,21.32,-158.01,1580007264,82.4,20,65,9.17
vaini,to,-21.2,-175.2,1580007264,80.6,75,88,13.87
russell,nz,32.35,-85.2,1580007265,46.4,1,80,3.36
avera,pf,33.19,-82.53,1580007265,45.0,1,75,8.05
neuquen,ar,-38.95,-68.06,1580007265,80.6,71,32,13.87
belushya guba,ru,71.97,102.5,1580007266,-23.94,22,96,2.64
khatanga,ru,23.83,84.12,1580007266,57.15,0,46,3.0
barwadih,in,20.52,-13.05,1580007205,70.45,100,24,9.01
atar,mr,5.33,103.14,1580007004,80.6,40,83,2.24
kuala terengganu,my,-33.93,18.42,1580007267,60.01,75,87,2.24
cape town,za,5.41,100.34,1580007094,86.0,20,66,6.93
amderma,ru,68.75,161.3,1580007219,-17.93,100,96,2.71
georgetown,sh,73.51,80.55,1580007268,-5.84,100,95,5.39
cherskiy,ru,-53.15,-70.92,1580007268,48.2,75,70,25.28
dikson,ru,-33.02,27.91,1580007268,73.45,38,84,20.69
punta arenas,cl,66.04,-17.34,1580007269,28.4,90,92,10.29
east london,za,47.6,-53.26,1580007269,19.0,5,78,16.11
husavik,is,-15.86,-38.88,1580007269,80.6,90,83,13.87
bay roberts,ca,47.67,-52.73,1580007244,19.0,5,78,16.11
belmonte,br,78.22,15.64,1580007270,1.4,7,54,2.06
nizhneyansk,ru,-54.8,-68.3,1580007055,46.4,75,75,23.04
torbay,ca,69.45,-133.04,1580007270,-13.0,90,75,25.28
longyearbyen,sj,70.63,147.92,1580007197,-22.23,100,86,5.99
ushuaia,ar,47.82,-79.87,1580007271,32.0,90,98,9.17
zhanatas,kz,-38.0,-57.56,1580007271,66.2,0,59,8.05
tuktoyaktuk,ca,-23.85,151.25,1580007271,86.0,75,62,12.75
chokurdakh,ru,-23.12,-134.97,1580007186,79.11,0,77,10.22
englehart,ca,-19.06,-169.92,1580007232,82.4,22,83,9.17
mar del plata,ar,-21.21,-159.78,1580007272,84.2,100,83,11.41
gladstone,au,47.34,5.01,1580007272,32.0,75,100,2.24
rikitea,pf,20.88,-156.68,1580006980,82.4,20,57,14.99
alofi,nu,77.48,-69.36,1580007273,-12.03,55,43,4.43
avarua,ck,-9.8,-139.03,1580007273,80.74,74,77,13.8
talant,fr,71.92,114.08,1580007273,-20.51,99,93,16.46
lahaina,us,61.99,5.14,1580007274,45.0,100,100,24.16
qaanaaq,gl,-35.72,150.18,1580007274,93.99,0,81,1.99
atuona,pf,68.22,-135.01,1580007274,-14.8,90,68,18.34
saskylakh,ru,-5.2,-35.46,1580007274,80.6,75,88,4.7
raudeberg,no,-20.32,118.57,1580007275,105.8,0,11,13.87
batemans bay,au,-20.52,57.52,1580007187,77.0,75,78,11.41
aklavik,ca,65.61,-37.64,1580007275,28.4,100,79,27.51
touros,br,20.89,-156.47,1580007275,82.4,20,57,14.99
port hedland,au,69.49,88.4,1580007276,5.0,75,77,11.18
souillac,mu,41.25,67.97,1580007276,32.97,100,86,4.59
tasiilaq,gl,-22.97,-42.03,1580007005,75.16,0,82,6.76
kahului,us,-42.78,147.06,1580007276,72.0,40,35,18.34
talnakh,ru,59.87,48.01,1580007277,11.7,100,94,7.85
chardara,kz,-34.53,20.04,1580007277,62.6,68,72,18.34
arraial do cabo,br,36.21,57.68,1580007277,32.16,15,70,5.32
new norfolk,au,43.37,-124.22,1580007277,55.99,90,100,4.7
maromitsa,ru,-33.59,26.89,1580007278,66.0,80,98,5.99
bredasdorp,za,32.67,-17.1,1580007278,57.2,20,71,4.7
sabzevar,ir,-0.95,122.79,1580007241,83.3,18,72,5.1
coos bay,us,-3.35,-64.71,1580007278,75.07,85,96,1.9
